@RELATION classifiers/SMV_RBF_new_2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE class {C:/Users/XPS/Desktop/Clean This/Training Data/sv,C:/Users/XPS/Desktop/Clean This/Training Data/usv,C:/Users/XPS/Desktop/Clean This/Training Data/scratch}

@DATA
0.185537,0.170816,3.167247,0.280202,0.172949,0.587758,0.030786,0.245506,0.173788,0.169741,0.168753,-42.246008,-4.268367,-0.029395,0.209882,-0.056406,0.230391,0.180966,-0.285323,-0.613343,-0.062075,0.358734,-0.627575,-1.260293,0.010008,0.033124,0.072237,0.018203,0.016476,0.104983,0.011102,0.027812,0.009929,0.006918,0.007059,0.712509,0.428287,0.066568,0.068918,0.029206,0.042966,0.057380,0.037663,0.075972,0.027989,0.047126,0.062437,0.101795,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.310765,0.075991,3.252395,0.341142,0.162390,0.865050,0.036337,0.390767,0.302600,0.220067,0.214500,-43.130476,-3.760692,-0.027944,0.152435,-0.032787,0.214594,0.135236,-0.233949,-0.538714,-0.084497,0.338119,-0.545532,-1.165828,0.019766,0.015238,0.026971,0.023358,0.012554,0.127750,0.017193,0.034633,0.014267,0.006133,0.001700,0.984625,0.557152,0.038920,0.073301,0.028884,0.026950,0.045617,0.035526,0.083823,0.019194,0.051518,0.080119,0.122624,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.229345,0.138060,3.191737,0.301090,0.162653,0.567340,0.051337,0.284343,0.216724,0.211086,0.205410,-42.397978,-4.189849,-0.031144,0.211960,-0.049195,0.206933,0.180526,-0.272927,-0.593118,-0.063386,0.359838,-0.610558,-1.258308,0.012181,0.025494,0.049882,0.018172,0.013179,0.159530,0.022069,0.039771,0.011086,0.005905,0.001905,1.177372,0.658713,0.044394,0.093741,0.037158,0.022919,0.057938,0.041873,0.112397,0.018418,0.061476,0.083617,0.146125,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.204009,0.102054,3.155581,0.287128,0.167581,0.395216,0.044435,0.209662,0.199446,0.199015,0.197785,-43.024872,-3.859544,-0.001411,0.155867,-0.054399,0.189058,0.166040,-0.217517,-0.575526,-0.059466,0.348430,-0.529852,-1.190666,0.002617,0.014076,0.074536,0.014579,0.013850,0.087930,0.011759,0.008062,0.002277,0.002215,0.001969,0.900542,0.472636,0.059226,0.060686,0.027307,0.031034,0.032390,0.042748,0.076695,0.015803,0.039051,0.075263,0.116769,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.243223,0.054311,3.196704,0.318984,0.163678,0.741148,0.040266,0.388876,0.216533,0.216038,0.215086,-43.379435,-3.645019,-0.003475,0.124205,-0.008039,0.196550,0.114936,-0.215712,-0.511417,-0.083936,0.333201,-0.547021,-1.121782,0.011304,0.008977,0.051043,0.016150,0.011863,0.127773,0.015329,0.036038,0.000838,0.000800,0.001067,1.083611,0.596484,0.043532,0.081813,0.044473,0.037661,0.055260,0.051760,0.098262,0.020248,0.049236,0.070411,0.141803,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.227527,0.153368,3.195235,0.292765,0.161951,0.402175,0.058068,0.253564,0.220364,0.214945,0.210109,-42.448520,-4.173241,-0.033036,0.203255,-0.057026,0.216822,0.161191,-0.261573,-0.572758,-0.071823,0.371976,-0.600514,-1.244536,0.009062,0.021060,0.042593,0.014264,0.010367,0.157082,0.027686,0.030436,0.009745,0.004618,0.001382,0.944781,0.507682,0.048818,0.078017,0.030581,0.021003,0.051236,0.040185,0.092911,0.010045,0.050272,0.072100,0.125521,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.238405,0.158565,3.199840,0.309962,0.161000,0.468543,0.043024,0.262086,0.226429,0.224914,0.222629,-42.455487,-4.153916,-0.038284,0.200535,-0.046532,0.214068,0.173209,-0.262181,-0.596547,-0.067801,0.368119,-0.599258,-1.251519,0.004532,0.012439,0.058005,0.011024,0.011163,0.095084,0.019681,0.025571,0.001171,0.001543,0.003029,0.744265,0.417958,0.027570,0.062525,0.028128,0.018442,0.036476,0.033667,0.064763,0.010891,0.034119,0.059881,0.090730,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.237815,0.161083,3.230709,0.320643,0.170716,0.521336,0.035377,0.270700,0.231850,0.223250,0.217650,-42.667036,-4.048444,-0.032930,0.187038,-0.049235,0.213450,0.165754,-0.249378,-0.586079,-0.066465,0.370896,-0.593451,-1.206534,0.013786,0.017170,0.025833,0.017143,0.011492,0.135799,0.015786,0.036900,0.013350,0.005450,0.000950,0.887645,0.470689,0.046965,0.078232,0.034949,0.022749,0.037554,0.035128,0.074845,0.015023,0.032478,0.063837,0.123563,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.220148,0.025834,3.002555,0.302197,0.188024,0.669741,0.041363,0.274686,0.191714,0.184057,0.182400,-43.697833,-3.446350,-0.004215,0.081620,-0.026723,0.230191,0.104078,-0.216415,-0.492328,-0.071943,0.299371,-0.480964,-1.084128,0.027822,0.009907,0.088646,0.011389,0.010143,0.253364,0.011236,0.055714,0.012057,0.005771,0.005600,0.873427,0.491570,0.046270,0.082606,0.024504,0.050913,0.071773,0.037917,0.087458,0.023446,0.073542,0.090050,0.116775,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.283713,0.089489,3.186215,0.339986,0.167082,1.058080,0.021102,0.425514,0.250571,0.215829,0.208029,-43.344232,-3.675632,0.026811,0.108348,-0.019485,0.202726,0.137134,-0.221664,-0.537607,-0.076995,0.336600,-0.546387,-1.120810,0.033827,0.009981,0.035429,0.018423,0.010460,0.102743,0.010539,0.019457,0.021771,0.004343,0.001171,0.932513,0.523327,0.055873,0.081699,0.028547,0.026345,0.045488,0.040852,0.075897,0.024163,0.046450,0.070915,0.123946,C:/Users/XPS/Desktop/Clean This/Training Data/sv
